#      x          Cp  
     1.00000    0.15583
     0.99180    0.14392
     0.98067    0.12606
     0.96782    0.10380
     0.95357    0.07769
     0.93838    0.04883
     0.92265    0.01841
     0.90663   -0.01260
     0.89046   -0.04356
     0.87420   -0.07406
     0.85789   -0.10391
     0.84156   -0.13301
     0.82521   -0.16135
     0.80884   -0.18899
     0.79246   -0.21597
     0.77607   -0.24240
     0.75967   -0.26834
     0.74326   -0.29388
     0.72685   -0.31912
     0.71043   -0.34412
     0.69401   -0.36896
     0.67759   -0.39372
     0.66117   -0.41846
     0.64475   -0.44324
     0.62833   -0.46813
     0.61192   -0.49320
     0.59551   -0.51850
     0.57911   -0.54410
     0.56271   -0.57005
     0.54633   -0.59643
     0.52996   -0.62330
     0.51360   -0.65074
     0.49726   -0.67885
     0.48094   -0.70773
     0.46464   -0.73750
     0.44836   -0.76834
     0.43213   -0.80054
     0.41594   -0.83427
     0.39984   -0.87166
     0.38386   -0.90953
     0.36796   -0.94537
     0.35212   -0.98086
     0.33634   -1.01624
     0.32061   -1.05178
     0.30494   -1.08765
     0.28933   -1.12399
     0.27379   -1.16097
     0.25833   -1.19871
     0.24295   -1.23739
     0.22767   -1.27718
     0.21251   -1.31828
     0.19747   -1.36094
     0.18258   -1.40540
     0.16788   -1.45197
     0.15338   -1.50091
     0.13916   -1.55244
     0.12527   -1.60653
     0.11181   -1.66265
     0.09891   -1.72001
     0.08670   -1.78247
     0.07535   -1.87484
     0.06501   -2.09061
     0.05576   -2.16969
     0.04762   -2.25618
     0.04054   -2.34769
     0.03441   -2.44452
     0.02912   -2.54658
     0.02453   -2.65319
     0.02055   -2.76309
     0.01707   -2.87459
     0.01404   -2.98540
     0.01138   -3.09230
     0.00906   -3.19060
     0.00704   -3.27340
     0.00530   -3.33084
     0.00381   -3.34945
     0.00258   -3.31212
     0.00159   -3.19983
     0.00084   -2.99620
     0.00034   -2.69456
     0.00006   -2.30683
     0.00001   -1.87100
     0.00016   -1.39653
     0.00056   -0.89087
     0.00122   -0.40055
     0.00215    0.03072
     0.00334    0.37696
     0.00480    0.63181
     0.00653    0.80610
     0.00853    0.91464
     0.01081    0.97431
     0.01339    0.99804
     0.01631    0.99655
     0.01960    0.97726
     0.02333    0.94590
     0.02758    0.90585
     0.03242    0.86038
     0.03799    0.81091
     0.04441    0.75947
     0.05182    0.70700
     0.06037    0.65501
     0.07015    0.60463
     0.08116    0.55716
     0.09331    0.51358
     0.10646    0.47451
     0.12040    0.44008
     0.13494    0.41009
     0.14996    0.38412
     0.16532    0.36166
     0.18095    0.34221
     0.19680    0.32532
     0.21282    0.31059
     0.22899    0.29767
     0.24528    0.28628
     0.26168    0.27617
     0.27817    0.26712
     0.29474    0.25893
     0.31139    0.25144
     0.32810    0.24448
     0.34486    0.23791
     0.36167    0.23153
     0.37851    0.22516
     0.39536    0.21824
     0.41215    0.21065
     0.42890    0.20465
     0.44566    0.19950
     0.46244    0.19504
     0.47923    0.19110
     0.49605    0.18757
     0.51289    0.18439
     0.52976    0.18148
     0.54664    0.17880
     0.56354    0.17631
     0.58046    0.17398
     0.59740    0.17178
     0.61435    0.16970
     0.63131    0.16770
     0.64828    0.16579
     0.66527    0.16395
     0.68226    0.16216
     0.69926    0.16042
     0.71626    0.15874
     0.73327    0.15710
     0.75028    0.15551
     0.76730    0.15398
     0.78431    0.15251
     0.80132    0.15112
     0.81833    0.14983
     0.83534    0.14866
     0.85233    0.14764
     0.86931    0.14683
     0.88624    0.14629
     0.90311    0.14608
     0.91982    0.14633
     0.93623    0.14717
     0.95206    0.14875
     0.96689    0.15119
     0.98019    0.15420
     0.99163    0.15847
     1.00000    0.15583
