#      x          Cp  
     1.00000    0.41989
     0.99180    0.22048
     0.98067    0.15551
     0.96782    0.09817
     0.95357    0.05128
     0.93838    0.01019
     0.92265   -0.02634
     0.90663   -0.05937
     0.89046   -0.08967
     0.87420   -0.11782
     0.85789   -0.14426
     0.84156   -0.16933
     0.82521   -0.19329
     0.80884   -0.21636
     0.79246   -0.23869
     0.77607   -0.26043
     0.75967   -0.28169
     0.74326   -0.30257
     0.72685   -0.32316
     0.71043   -0.34354
     0.69401   -0.36375
     0.67759   -0.38388
     0.66117   -0.40397
     0.64475   -0.42408
     0.62833   -0.44425
     0.61192   -0.46453
     0.59551   -0.48496
     0.57911   -0.50560
     0.56271   -0.52648
     0.54633   -0.54766
     0.52996   -0.56919
     0.51360   -0.59112
     0.49726   -0.61352
     0.48094   -0.63648
     0.46464   -0.66010
     0.44836   -0.68452
     0.43213   -0.71005
     0.41594   -0.73664
     0.39984   -0.76808
     0.38386   -0.79938
     0.36796   -0.82702
     0.35212   -0.85398
     0.33634   -0.88036
     0.32061   -0.90644
     0.30494   -0.93232
     0.28933   -0.95811
     0.27379   -0.98388
     0.25833   -1.00971
     0.24295   -1.03567
     0.22767   -1.06186
     0.21251   -1.08836
     0.19747   -1.11529
     0.18258   -1.14280
     0.16788   -1.17106
     0.15338   -1.20028
     0.13916   -1.23071
     0.12527   -1.26262
     0.11181   -1.29632
     0.09891   -1.33208
     0.08670   -1.37009
     0.07535   -1.41035
     0.06501   -1.45265
     0.05576   -1.49655
     0.04762   -1.54143
     0.04054   -1.58658
     0.03441   -1.63136
     0.02912   -1.67496
     0.02453   -1.71658
     0.02055   -1.75516
     0.01707   -1.78921
     0.01404   -1.81672
     0.01138   -1.83486
     0.00906   -1.83975
     0.00704   -1.82608
     0.00530   -1.78689
     0.00381   -1.71358
     0.00258   -1.59657
     0.00159   -1.42713
     0.00084   -1.20095
     0.00034   -0.92250
     0.00006   -0.60793
     0.00001   -0.28717
     0.00016    0.03035
     0.00056    0.33424
     0.00122    0.59405
     0.00215    0.78990
     0.00334    0.91651
     0.00480    0.98186
     0.00653    1.00000
     0.00853    0.98520
     0.01081    0.94918
     0.01339    0.90042
     0.01631    0.84469
     0.01960    0.78574
     0.02333    0.72590
     0.02758    0.66665
     0.03242    0.60887
     0.03799    0.55314
     0.04441    0.49994
     0.05182    0.44968
     0.06037    0.40289
     0.07015    0.36012
     0.08116    0.32190
     0.09331    0.28854
     0.10646    0.26008
     0.12040    0.23622
     0.13494    0.21647
     0.14996    0.20025
     0.16532    0.18698
     0.18095    0.17617
     0.19680    0.16736
     0.21282    0.16021
     0.22899    0.15440
     0.24528    0.14968
     0.26168    0.14585
     0.27817    0.14270
     0.29474    0.14009
     0.31139    0.13787
     0.32810    0.13591
     0.34486    0.13405
     0.36167    0.13214
     0.37851    0.13001
     0.39536    0.12667
     0.41215    0.12184
     0.42890    0.11986
     0.44566    0.11856
     0.46244    0.11786
     0.47923    0.11757
     0.49605    0.11759
     0.51289    0.11787
     0.52976    0.11835
     0.54664    0.11900
     0.56354    0.11979
     0.58046    0.12070
     0.59740    0.12171
     0.61435    0.12282
     0.63131    0.12400
     0.64828    0.12526
     0.66527    0.12659
     0.68226    0.12801
     0.69926    0.12951
     0.71626    0.13110
     0.73327    0.13281
     0.75028    0.13466
     0.76730    0.13667
     0.78431    0.13888
     0.80132    0.14134
     0.81833    0.14411
     0.83534    0.14728
     0.85233    0.15094
     0.86931    0.15525
     0.88624    0.16041
     0.90311    0.16670
     0.91982    0.17452
     0.93623    0.18450
     0.95206    0.19758
     0.96689    0.21519
     0.98019    0.24081
     0.99163    0.27598
     1.00000    0.41989
