  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3050   0.00847   0.00290  -0.0565   0.9224   0.0721
  -4.500  -0.2511   0.00806   0.00254  -0.0560   0.9046   0.0908
  -4.000  -0.1967   0.00770   0.00223  -0.0555   0.8848   0.1161
  -3.500  -0.1422   0.00738   0.00196  -0.0551   0.8627   0.1486
  -3.000  -0.0875   0.00708   0.00173  -0.0547   0.8387   0.1900
  -2.500  -0.0328   0.00682   0.00155  -0.0543   0.8117   0.2390
  -2.000   0.0220   0.00659   0.00141  -0.0540   0.7828   0.2958
  -1.500   0.0765   0.00636   0.00130  -0.0536   0.7519   0.3638
  -0.500   0.1838   0.00582   0.00120  -0.0526   0.6857   0.5774
   0.000   0.2371   0.00564   0.00122  -0.0520   0.6517   0.6795
   0.500   0.2897   0.00553   0.00128  -0.0511   0.6182   0.7735
   1.000   0.3413   0.00548   0.00138  -0.0498   0.5859   0.8600
   1.500   0.3923   0.00556   0.00152  -0.0482   0.5553   0.9269
   2.000   0.4496   0.00578   0.00166  -0.0481   0.5256   0.9675
   2.500   0.5186   0.00605   0.00181  -0.0508   0.4952   0.9855
   3.000   0.5927   0.00635   0.00197  -0.0549   0.4636   0.9942
   3.500   0.6666   0.00665   0.00214  -0.0589   0.4302   1.0000
   4.000   0.7146   0.00693   0.00230  -0.0573   0.3980   1.0000
   4.500   0.7624   0.00728   0.00251  -0.0557   0.3595   1.0000
   5.000   0.8094   0.00775   0.00278  -0.0540   0.3155   1.0000
   5.500   0.8558   0.00833   0.00314  -0.0522   0.2655   1.0000
   6.000   0.9019   0.00905   0.00360  -0.0505   0.2122   1.0000
   6.500   0.9484   0.00984   0.00414  -0.0489   0.1613   1.0000
   7.000   0.9947   0.01068   0.00475  -0.0474   0.1185   1.0000
   8.000   1.0875   0.01234   0.00611  -0.0445   0.0660   1.0000
   8.500   1.1342   0.01310   0.00682  -0.0431   0.0528   1.0000
   9.000   1.1797   0.01392   0.00761  -0.0416   0.0436   1.0000
   9.500   1.2243   0.01477   0.00845  -0.0400   0.0372   1.0000
  10.000   1.2674   0.01567   0.00937  -0.0381   0.0324   1.0000
  10.500   1.3071   0.01673   0.01045  -0.0358   0.0287   1.0000
  11.000   1.3469   0.01766   0.01144  -0.0336   0.0262   1.0000
  11.500   1.3780   0.01887   0.01271  -0.0300   0.0239   1.0000
  12.000   1.4090   0.02001   0.01394  -0.0265   0.0222   1.0000
  12.500   1.4295   0.02186   0.01588  -0.0221   0.0205   1.0000
  13.000   1.4570   0.02338   0.01751  -0.0190   0.0195   1.0000
  13.500   1.4803   0.02527   0.01952  -0.0160   0.0184   1.0000
  14.000   1.4922   0.02821   0.02256  -0.0127   0.0173   1.0000
  14.500   1.5062   0.03127   0.02580  -0.0102   0.0167   1.0000
  15.000   1.5195   0.03469   0.02937  -0.0086   0.0160   1.0000
